
       对源代码进行词法分析，得到TOKEN信息如下：


                行号                       词法信息                              语义信息
                  20                              [                     单分界符，无语义信息
                  20                             ID                                        k
                  20                              +                     单分界符，无语义信息
                  20                           INTC                                        1
                  20                              ]                     单分界符，无语义信息
                  20                              ;                     单分界符，无语义信息
                  21                      lex_error                             不可识别字符
                  21                             ID                                        a
                  21                              [                     单分界符，无语义信息
                  21                             ID                                        k
                  21                              +                     单分界符，无语义信息
                  21                           INTC                                        1
                  21                              ]                     单分界符，无语义信息
                  21                             :=                     双分界符，无语义信息
                  21                             ID                                        t
                  22                           else                       保留字，无语义信息
                  22                             ID                                        t
                  22                             :=                     双分界符，无语义信息
                  22                           INTC                                        0
                  23                             fi                       保留字，无语义信息
                  23                              ;                     单分界符，无语义信息
                  24                             ID                                        k
                  24                             :=                     双分界符，无语义信息
                  24                             ID                                        k
                  24                              +                     单分界符，无语义信息
                  24                           INTC                                        1
                  25                          endwh                       保留字，无语义信息
                  25                              ;                     单分界符，无语义信息
                  26                             ID                                        i
                  26                             :=                     双分界符，无语义信息
                  26                             ID                                        i
                  26                              +                     单分界符，无语义信息
                  26                           INTC                                        1
                  27                          endwh                       保留字，无语义信息
                  28                            end                       保留字，无语义信息
                  30                          begin                       保留字，无语义信息
                  31                           read                       保留字，无语义信息
                  31                              (                     单分界符，无语义信息
                  31                             ID                                      num
                  31                              )                     单分界符，无语义信息
                  31                              ;                     单分界符，无语义信息
                  32                             ID                                        i
                  32                             :=                     双分界符，无语义信息
                  32                           INTC                                        1
                  32                              ;                     单分界符，无语义信息
                  33                          while                       保留字，无语义信息
                  33                             ID                                        i
                  33                              <                     单分界符，无语义信息
                  33                              (                     单分界符，无语义信息
                  33                             ID                                      num
                  33                              +                     单分界符，无语义信息
                  33                           INTC                                        1
                  33                              )                     单分界符，无语义信息
                  33                             do                       保留字，无语义信息
                  34                           read                       保留字，无语义信息
                  34                              (                     单分界符，无语义信息
                  34                             ID                                        j
                  34                              )                     单分界符，无语义信息
                  34                              ;                     单分界符，无语义信息
                  35                             ID                                        a
                  35                              [                     单分界符，无语义信息
                  35                             ID                                        i
                  35                              ]                     单分界符，无语义信息
                  35                             :=                     双分界符，无语义信息
                  35                             ID                                        j
                  35                              ;                     单分界符，无语义信息
                  36                             ID                                        i
                  36                             :=                     双分界符，无语义信息
                  36                             ID                                        i
                  36                              +                     单分界符，无语义信息
                  36                           INTC                                        1
                  37                          endwh                       保留字，无语义信息
                  37                              ;                     单分界符，无语义信息
                  38                             ID                                        q
                  38                              (                     单分界符，无语义信息
                  38                             ID                                      num
                  38                              )                     单分界符，无语义信息
                  38                              ;                     单分界符，无语义信息
                  39                             ID                                        i
                  39                             :=                     双分界符，无语义信息
                  39                           INTC                                        1
                  39                              ;                     单分界符，无语义信息
                  40                          while                       保留字，无语义信息
                  40                             ID                                        i
                  40                              <                     单分界符，无语义信息
                  40                              (                     单分界符，无语义信息
                  40                             ID                                      num
                  40                              +                     单分界符，无语义信息
                  40                           INTC                                        1
                  40                              )                     单分界符，无语义信息
                  40                             do                       保留字，无语义信息
                  41                          write                       保留字，无语义信息
                  41                              (                     单分界符，无语义信息
                  41                             ID                                        a
                  41                              [                     单分界符，无语义信息
                  41                             ID                                        i
                  41                              ]                     单分界符，无语义信息
                  41                              )                     单分界符，无语义信息
                  41                              ;                     单分界符，无语义信息
                  42                             ID                                        i
                  42                             :=                     双分界符，无语义信息
                  42                             ID                                        i
                  42                              +                     单分界符，无语义信息
                  42                           INTC                                        1
                  43                          endwh                       保留字，无语义信息
                  44                            end                       保留字，无语义信息
                  44                              .                   程序结束符，无语义信息
